"id","level","description","decoded_as","fields","parents","children"
"17101","9","Successful login during non-business hours.","None","[]","None",""
"1","0","Generic template for all syslog rules.","None","[]","None",""
"3","0","Generic template for all ids rules.","None","[]","None",""
"5","0","Generic template for all web proxy rules.","None","[]","None",""
"18100","0","Group of windows rules.","None","[]","None","18102, 18104, 7701, 7703, 184665, 185001, 185003, 185005, 185007, 185009, 185013, 83000"
"18102","0","Windows warning event.","None","[]","18100",""
"18104","0","Windows audit success event.","None","[]","18100","18110, 18112, 18114, 18116, 18118, 18128, 18140, 18142, 18148, 18200, 18181, 18651, 18655, 18657, 18659, 18661, 18667"
"18106","5","Windows Logon Failure.","None","[]","18105","18130, 18132, 18134, 18136, 18138"
"18108","4","Windows: Failed attempt to perform a privileged operation.","None","[]","18105",""
"18110","8","Windows: User account enabled or created.","None","[]","18104",""
"18112","8","Windows: User account disabled or deleted.","None","[]","18104",""
"18114","5","Windows: Group Account Changed","None","[]","18104","18144, 18204, 18208, 18210, 18214"
"18116","9","Windows: User account locked out (multiple login errors).","None","[]","18104",""
"18118","9","Windows audit log was cleared.","None","[]","18104",""
"18120","0","Windows login attempt (ignored). Duplicated.","None","[]","18105",""
"18126","3","Windows: Remote access login success.","None","[]","18101",""
"18128","8","Windows: Group account added/changed/deleted.","None","[]","18104",""
"18130","5","Windows: Logon Failure - Unknown user or bad password.","None","[]","18106",""
"18132","5","Windows: Logon Failure - Account currently disabled.","None","[]","18106",""
"18134","7","Windows: Logon Failure - User not allowed to login at this computer.","None","[]","18106",""
"18136","5","Windows: Logon Failure - Account's password expired.","None","[]","18106",""
"18138","7","Windows: Logon Failure - Account locked out.","None","[]","18106",""
"18140","5","Windows: System time changed.","None","[]","18104",""
"18142","5","Windows: User account unlocked.","None","[]","18104",""
"18144","8","Windows: Security enabled group deleted.","None","[]","18114",""
"18146","5","Windows: Application Uninstalled.","None","[]","18101",""
"18148","3","Windows is starting up.","None","[]","18104",""
"18200","5","Windows: Group Account Created","None","[]","18104","18202, 18206, 18212"
"18202","5","Windows: Security Enabled Global Group Created","None","[]","18200",""
"18204","5","Windows: Security Enabled Global Group Member Removed","None","[]","18114",""
"18206","5","Windows: Security Enabled Local Group Created","None","[]","18200",""
"18208","5","Windows: Security Enabled Local Group Member Removed","None","[]","18114",""
"18210","5","Windows: Security Enabled Local Group Changed","None","[]","18114",""
"18212","5","Windows: Security Enabled Universal Group Created","None","[]","18200",""
"18214","5","Windows: Security Enabled Universal Group Member Added","None","[]","18114",""
"18216","5","Windows: Security Enabled Universal Group Deleted","None","[]","18201",""
"18218","5","Windows: Everyone Group Changed","None","[]","18207,18208",""
"18220","5","Windows: Authenticated Users Group Changed","None","[]","18207,18208",""
"18222","12","Windows: Domain Admins Group Changed","None","[]","18203,18204",""
"18224","0","Windows: Local User Group NONE","None","[]","18223,18203",""
"18226","5","Windows: Domain Computers Group Changed","None","[]","18203,18204",""
"18228","10","Windows: Cert Publishers Group Changed","None","[]","18207,18208",""
"18230","12","Windows: Enterprise Admins Group Changed","None","[]","18213,18214",""
"18232","10","Windows: RAS and IAS Servers Group Changed","None","[]","18207,18208",""
"18234","12","Windows: Guests Group Changed","None","[]","18207,18208",""
"18236","10","Windows: Account Operators Group Changed","None","[]","18207,18208",""
"18238","8","Windows: Print Operators Group Changed","None","[]","18207,18208",""
"18240","10","Windows: Replicators Group Changed","None","[]","18207,18208",""
"18242","10","Windows: Remote Desktop Users Group Changed","None","[]","18207,18208",""
"18244","10","Windows: Incoming Forest Trust Builders Group Changed","None","[]","18207,18208",""
"18246","8","Windows: Performance Log Users Group Changed","None","[]","18207,18208",""
"18248","8","Windows: Terminal Server License Servers Group Changed","None","[]","18207,18208",""
"18250","12","Windows: Enterprise Read-only Domain Controllers Group Changed","None","[]","18207,18208",""
"18252","12","Windows: Cryptographic Operators Group Changed","None","[]","18207,18208",""
"18254","10","Windows: Denied RODC Password Replication Group Changed","None","[]","18207,18208",""
"18256","10","Windows: Certificate Service DCOM Access Group Changed","None","[]","18207,18208",""
"18270","0","Ignore rule 18257: not related to TS Gateway","None","[]","18257",""
"18259","3","Windows: TS Gateway user disconnected.","None","[]","18101",""
"18170","10","field failed.","None","[]","18139",""
"18172","7","Windows DC - Clock skew too great.","None","[]","18139",""
"18181","3","MS SQL Server Logon Success.","None","[]","18104",""
"18261","0","MS Exchange User Logoff.","None","[]","18149",""
"18152","10","Multiple Windows Logon Failures.","None","[]","None",""
"18154","10","Multiple Windows error events.","None","[]","None",""
